Latitude (decimal degrees):	3.156
Longitude (decimal degrees):	101.691
Elevation (m):	66
Radiation database:	PVGIS-ERA5


Slope: 0 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0

P: PV system power (W)
G(i): Global irradiance on the inclined plane (plane of the array) (W/m2)
H_sun: Sun height (degree)
T2m: 2-m air temperature (degree Celsius)
WS10m: 10-m total wind speed (m/s)
Int: 1 means solar radiation values are reconstructed



PVGIS (c) European Union, 2001-2026

time,P,G(i),H_sun,T2m,WS10m,Int
20230724:2130,0.0,0.0,0.0,24.66,1.45,0.0
20230724:2230,0.0,0.0,0.0,24.51,1.38,0.0
20230724:2330,9.17,23.25,3.52,24.34,1.38,0.0
20230725:0030,144.6,210.44,17.62,24.66,1.17,0.0
20230725:0130,320.4,425.26,31.67,27.82,0.97,0.0
20230725:0230,489.06,639.99,45.46,29.14,2.55,0.0
20230725:0330,553.14,727.2,58.56,29.94,3.03,0.0
20230725:0430,612.61,813.35,69.51,30.49,3.17,0.0
20230725:0530,620.86,828.6,73.27,30.89,3.1,0.0
20230725:0630,653.16,876.16,66.16,31.06,2.9,0.0
20230725:0730,563.1,756.06,54.15,31.93,2.14,0.0
20230725:0830,434.52,575.12,40.73,31.86,2.48,0.0
20230725:0930,262.58,357.35,26.82,31.47,2.48,0.0
20230725:1030,75.14,125.57,12.74,30.73,2.41,0.0
20230725:1130,0.0,0.0,-1.38,29.74,1.59,0.0
20230725:1230,0.0,0.0,0.0,28.59,1.1,0.0
20230725:1330,0.0,0.0,0.0,27.38,0.97,0.0
20230725:1430,0.0,0.0,0.0,26.42,1.17,0.0
20230725:1530,0.0,0.0,0.0,25.78,1.45,0.0
20230725:1630,0.0,0.0,0.0,25.33,1.45,0.0
20230725:1730,0.0,0.0,0.0,25.1,1.45,0.0
20230725:1830,0.0,0.0,0.0,25.04,1.45,0.0
20230725:1930,0.0,0.0,0.0,25.04,1.1,0.0
20230725:2030,0.0,0.0,0.0,26.27,0.28,0.0
20230725:2130,0.0,0.0,0.0,25.42,1.03,0.0
20230725:2230,0.0,0.0,0.0,26.22,0.21,0.0
20230725:2330,7.37,20.45,3.51,25.48,0.76,0.0
20230726:0030,126.47,184.52,17.63,25.32,0.62,0.0
20230726:0130,283.25,377.09,31.7,27.55,0.62,0.0
20230726:0230,390.31,513.3,45.52,28.68,1.45,0.0
20230726:0330,423.58,559.17,58.66,29.51,1.79,0.0
20230726:0430,497.4,661.07,69.68,29.89,2.28,0.0
20230726:0530,463.53,613.03,73.49,30.26,2.55,0.0
20230726:0630,565.8,747.9,66.3,30.31,2.76,0.0
20230726:0730,527.49,700.24,54.24,31.48,2.62,0.0
20230726:0830,352.39,464.47,40.78,31.51,2.55,0.0
20230726:0930,233.05,317.98,26.85,31.16,2.21,0.0
20230726:1030,66.86,114.03,12.74,30.71,1.72,0.0
20230726:1130,0.0,0.0,-1.39,29.77,1.03,0.0
20230726:1230,0.0,0.0,0.0,28.52,0.83,0.0
20230726:1330,0.0,0.0,0.0,28.21,0.48,0.0
20230726:1430,0.0,0.0,0.0,26.35,1.17,0.0
20230726:1530,0.0,0.0,0.0,25.5,1.59,0.0
20230726:1630,0.0,0.0,0.0,24.9,1.66,0.0
20230726:1730,0.0,0.0,0.0,24.46,1.59,0.0
20230726:1830,0.0,0.0,0.0,24.06,1.52,0.0
20230726:1930,0.0,0.0,0.0,24.83,1.1,0.0
20230726:2030,0.0,0.0,0.0,25.03,1.03,0.0
20230726:2130,0.0,0.0,0.0,25.08,1.1,0.0
20230726:2230,0.0,0.0,0.0,24.64,1.38,0.0
20230726:2330,5.72,17.6,3.5,24.59,1.24,0.0
20230727:0030,83.9,123.88,17.64,24.74,0.97,0.0
20230727:0130,190.66,256.67,31.73,26.35,0.62,0.0
20230727:0230,284.32,373.1,45.58,27.35,1.24,0.0
20230727:0330,417.2,546.43,58.76,28.26,2.07,0.0
20230727:0430,490.55,648.72,69.85,29.13,2.21,0.0
20230727:0530,555.91,742.2,73.71,29.74,2.41,0.0
20230727:0630,410.69,541.94,66.45,30.29,2.48,0.0
20230727:0730,352.91,464.89,54.33,30.0,2.41,0.0
20230727:0830,262.81,350.2,40.83,30.22,1.79,0.0
20230727:0930,169.1,233.86,26.87,30.11,1.45,0.0
20230727:1030,50.34,83.34,12.75,29.86,1.03,0.0
20230727:1130,0.0,0.0,-1.41,29.15,0.69,0.0
20230727:1230,0.0,0.0,0.0,28.2,0.62,0.0
20230727:1330,0.0,0.0,0.0,28.01,0.0,0.0
20230727:1430,0.0,0.0,0.0,27.13,0.62,0.0
20230727:1530,0.0,0.0,0.0,25.4,1.17,0.0
20230727:1630,0.0,0.0,0.0,24.6,1.38,0.0
20230727:1730,0.0,0.0,0.0,24.02,1.45,0.0
20230727:1830,0.0,0.0,0.0,23.49,1.38,0.0
20230727:1930,0.0,0.0,0.0,24.78,1.17,0.0
20230727:2030,0.0,0.0,0.0,25.1,0.97,0.0
20230727:2130,0.0,0.0,0.0,25.51,0.76,0.0
20230727:2230,0.0,0.0,0.0,25.29,0.76,0.0
20230727:2330,7.02,19.85,3.49,25.32,0.55,0.0
20230728:0030,116.86,173.13,17.66,25.44,0.07,0.0
20230728:0130,276.32,366.81,31.77,27.08,0.76,0.0
20230728:0230,423.0,555.53,45.64,28.24,1.45,0.0
20230728:0330,508.76,672.83,58.87,29.18,1.93,0.0
20230728:0430,587.24,784.81,70.03,29.82,2.07,0.0
20230728:0530,576.38,767.37,73.93,30.37,2.41,0.0
20230728:0630,621.22,830.88,66.6,30.35,2.48,0.0
20230728:0730,487.48,646.77,54.41,31.49,2.41,0.0
20230728:0830,375.01,493.87,40.88,31.32,2.62,0.0
20230728:0930,219.13,298.85,26.9,30.97,2.69,0.0
20230728:1030,58.39,99.6,12.75,30.38,2.0,0.0
20230728:1130,0.0,0.0,-1.42,29.62,1.45,0.0
20230728:1230,0.0,0.0,0.0,28.59,1.24,0.0
20230728:1330,0.0,0.0,0.0,27.59,0.9,0.0
20230728:1430,0.0,0.0,0.0,27.77,0.55,0.0
20230728:1530,0.0,0.0,0.0,27.5,0.21,0.0
20230728:1630,0.0,0.0,0.0,27.04,0.48,0.0
20230728:1730,0.0,0.0,0.0,26.04,0.9,0.0
20230728:1830,0.0,0.0,0.0,25.87,0.76,0.0
20230728:1930,0.0,0.0,0.0,25.02,0.97,0.0
20230728:2030,0.0,0.0,0.0,24.62,0.97,0.0
20230728:2130,0.0,0.0,0.0,24.7,0.97,0.0
20230728:2230,0.0,0.0,0.0,24.59,1.03,0.0
20230728:2330,9.38,23.6,3.48,24.52,0.97,0.0
20230729:0030,115.57,168.0,17.67,24.82,0.83,0.0
20230729:0130,251.29,333.37,31.81,26.8,0.9,0.0
20230729:0230,391.66,513.25,45.71,28.19,1.59,0.0
20230729:0330,508.72,670.93,58.98,29.14,2.07,0.0
20230729:0430,530.77,700.7,70.21,29.75,2.83,0.0
20230729:0530,602.51,798.82,74.16,29.8,2.97,0.0
20230729:0630,486.22,642.41,66.74,30.26,2.69,0.0
20230729:0730,454.41,593.08,54.49,29.55,2.76,0.0
20230729:0830,346.72,455.0,40.93,29.73,2.41,0.0
20230729:0930,182.23,250.52,26.92,29.98,2.21,0.0
20230729:1030,65.3,111.09,12.75,29.46,1.52,0.0
20230729:1130,0.0,0.0,-1.44,29.13,0.97,0.0
20230729:1230,0.0,0.0,0.0,28.43,0.48,0.0
20230729:1330,0.0,0.0,0.0,27.32,0.76,0.0
20230729:1430,0.0,0.0,0.0,26.63,1.1,0.0
20230729:1530,0.0,0.0,0.0,26.3,1.52,0.0
20230729:1630,0.0,0.0,0.0,25.94,1.59,0.0
20230729:1730,0.0,0.0,0.0,25.78,1.59,0.0
20230729:1830,0.0,0.0,0.0,25.61,1.52,0.0
20230729:1930,0.0,0.0,0.0,25.64,1.45,0.0
20230729:2030,0.0,0.0,0.0,25.48,1.38,0.0
20230729:2130,0.0,0.0,0.0,25.14,1.38,0.0
20230729:2230,0.0,0.0,0.0,25.02,1.31,0.0
20230729:2330,6.32,18.65,3.48,24.91,1.24,0.0
20230730:0030,75.0,115.27,17.69,25.32,1.1,0.0
20230730:0130,225.76,300.14,31.85,26.95,1.45,0.0
20230730:0230,371.66,479.71,45.78,28.01,3.17,0.0
20230730:0330,404.92,523.78,59.09,29.01,3.66,0.0
20230730:0430,503.03,654.96,70.4,29.52,3.72,0.0
20230730:0530,558.58,732.19,74.39,30.1,3.72,0.0
20230730:0630,329.96,431.0,66.89,30.62,3.59,0.0
20230730:0730,408.59,532.12,54.58,30.42,3.93,0.0
20230730:0830,352.15,459.48,40.97,30.92,3.66,0.0
20230730:0930,238.71,323.37,26.94,30.91,3.59,0.0
20230730:1030,68.78,117.58,12.75,30.67,2.97,0.0
20230730:1130,0.0,0.0,-1.47,29.8,2.34,0.0
20230730:1230,0.0,0.0,0.0,28.7,1.93,0.0
20230730:1330,0.0,0.0,0.0,27.71,1.93,0.0
20230730:1430,0.0,0.0,0.0,27.43,2.14,0.0
20230730:1530,0.0,0.0,0.0,27.09,2.28,0.0
20230730:1630,0.0,0.0,0.0,26.72,2.14,0.0
20230730:1730,0.0,0.0,0.0,26.25,1.72,0.0
20230730:1830,0.0,0.0,0.0,25.96,1.59,0.0
20230730:1930,0.0,0.0,0.0,25.8,2.07,0.0
20230730:2030,0.0,0.0,0.0,25.58,1.52,0.0
20230730:2130,0.0,0.0,0.0,25.24,1.03,0.0
20230730:2230,0.0,0.0,0.0,25.18,1.17,0.0
20230730:2330,3.06,12.8,3.48,25.14,1.45,0.0
20230731:0030,49.28,78.95,17.71,25.23,1.17,0.0
20230731:0130,139.05,191.23,31.89,26.07,1.03,0.0
20230731:0230,278.08,362.1,45.85,26.9,1.79,0.0
20230731:0330,363.22,472.45,59.21,27.88,2.34,0.0
20230731:0430,451.85,591.17,70.59,28.74,2.28,0.0
20230731:0530,284.5,373.36,74.63,29.81,2.55,0.0
20230731:0630,218.2,290.14,67.04,28.13,2.21,0.0
20230731:0730,216.59,290.14,54.66,28.43,1.79,0.0
20230731:0830,238.19,315.31,41.01,28.6,2.21,0.0
20230731:0930,170.77,234.19,26.95,28.95,2.48,0.0
20230731:1030,38.36,66.64,12.74,28.92,2.28,0.0
20230731:1130,0.0,0.0,-1.49,28.27,1.24,0.0
20230731:1230,0.0,0.0,0.0,27.55,0.76,0.0
20230731:1330,0.0,0.0,0.0,27.1,0.62,0.0
20230731:1430,0.0,0.0,0.0,26.55,0.97,0.0
20230731:1530,0.0,0.0,0.0,26.23,1.03,0.0
20230731:1630,0.0,0.0,0.0,25.89,1.03,0.0
20230731:1730,0.0,0.0,0.0,25.65,0.9,0.0
20230731:1830,0.0,0.0,0.0,25.4,0.83,0.0
20230731:1930,0.0,0.0,0.0,25.48,1.24,0.0
20230731:2030,0.0,0.0,0.0,25.54,0.97,0.0
20230731:2130,0.0,0.0,0.0,25.47,0.83,0.0
20230731:2230,0.0,0.0,0.0,24.94,1.1,0.0
20230731:2330,3.09,12.85,3.48,24.69,1.17,0.0
20230801:0030,58.95,94.03,17.74,25.19,0.9,0.0
20230801:0130,255.1,337.51,31.94,26.88,1.1,0.0
20230801:0230,394.3,510.75,45.93,28.61,2.9,0.0
20230801:0330,482.76,627.6,59.33,29.57,3.52,0.0
20230801:0430,579.79,759.32,70.79,30.36,3.86,0.0
20230801:0530,611.15,806.97,74.87,30.96,3.93,0.0
20230801:0630,342.36,446.39,67.18,31.21,3.79,0.0
20230801:0730,386.17,502.57,54.74,29.9,3.03,0.0
20230801:0830,216.87,288.05,41.05,30.01,3.1,0.0
20230801:0930,165.89,228.4,26.97,29.61,2.69,0.0
20230801:1030,43.63,77.27,12.73,29.2,2.55,0.0
20230801:1130,0.0,0.0,-1.52,28.59,1.45,0.0
20230801:1230,0.0,0.0,0.0,27.56,0.9,0.0
20230801:1330,0.0,0.0,0.0,26.91,0.97,0.0
20230801:1430,0.0,0.0,0.0,26.54,0.97,0.0
20230801:1530,0.0,0.0,0.0,26.4,0.83,0.0
20230801:1630,0.0,0.0,0.0,26.46,0.69,0.0
20230801:1730,0.0,0.0,0.0,25.98,0.76,0.0
20230801:1830,0.0,0.0,0.0,25.7,0.69,0.0
20230801:1930,0.0,0.0,0.0,25.24,1.52,0.0
20230801:2030,0.0,0.0,0.0,24.94,1.52,0.0
20230801:2130,0.0,0.0,0.0,24.97,1.31,0.0
20230801:2230,0.0,0.0,0.0,24.73,1.24,0.0
20230801:2330,8.69,22.5,3.48,24.46,1.38,0.0
20230802:0030,119.87,173.2,17.76,24.73,1.17,0.0
20230802:0130,271.62,358.52,31.98,26.93,1.52,0.0
20230802:0230,420.6,549.09,46.0,28.27,2.07,0.0
20230802:0330,550.37,728.68,59.45,29.41,2.41,0.0
20230802:0430,554.43,737.54,70.99,30.59,2.62,0.0
20230802:0530,529.02,704.71,75.12,31.3,2.76,0.0
20230802:0630,465.8,615.96,67.33,31.65,2.69,0.0
20230802:0730,493.27,663.82,54.81,32.55,1.72,0.0
20230802:0830,347.02,464.54,41.09,32.92,1.59,0.0
20230802:0930,206.99,286.5,26.98,32.65,1.86,0.0
20230802:1030,72.65,123.38,12.72,31.8,1.66,0.0
20230802:1130,0.0,0.0,-1.55,30.85,1.52,0.0
20230802:1230,0.0,0.0,0.0,29.23,1.52,0.0
20230802:1330,0.0,0.0,0.0,27.99,1.31,0.0
20230802:1430,0.0,0.0,0.0,27.63,1.1,0.0
20230802:1530,0.0,0.0,0.0,26.89,1.24,0.0
20230802:1630,0.0,0.0,0.0,26.29,1.52,0.0
20230802:1730,0.0,0.0,0.0,26.15,0.97,0.0
20230802:1830,0.0,0.0,0.0,26.34,0.76,0.0
20230802:1930,0.0,0.0,0.0,25.89,1.93,0.0
20230802:2030,0.0,0.0,0.0,25.42,1.59,0.0
20230802:2130,0.0,0.0,0.0,25.48,0.69,0.0
20230802:2230,0.0,0.0,0.0,24.78,0.76,0.0
20230802:2330,1.58,9.75,3.48,24.51,1.03,0.0
20230803:0030,43.03,70.75,17.79,24.53,0.55,0.0
20230803:0130,120.72,167.64,32.03,24.78,1.03,0.0
20230803:0230,157.83,213.29,46.08,25.14,1.24,0.0
20230803:0330,193.71,259.39,59.58,25.41,0.48,0.0
20230803:0430,200.93,269.05,71.2,26.17,1.03,0.0
20230803:0530,211.86,282.79,75.37,26.8,1.03,0.0
20230803:0630,458.77,605.09,67.47,27.3,1.52,0.0
20230803:0730,200.56,271.14,54.89,29.74,2.14,0.0
20230803:0830,38.07,64.75,41.13,28.38,1.52,0.0
20230803:0930,48.71,78.5,26.98,27.44,1.45,0.0
20230803:1030,26.76,49.25,12.71,27.16,1.79,0.0
20230803:1130,0.0,0.0,-1.59,26.7,1.52,0.0
20230803:1230,0.0,0.0,0.0,26.2,0.41,0.0
20230803:1330,0.0,0.0,0.0,25.73,0.55,0.0
20230803:1430,0.0,0.0,0.0,25.3,0.83,0.0
20230803:1530,0.0,0.0,0.0,25.01,1.03,0.0
20230803:1630,0.0,0.0,0.0,24.77,1.31,0.0
20230803:1730,0.0,0.0,0.0,24.45,1.31,0.0
20230803:1830,0.0,0.0,0.0,24.43,1.24,0.0
20230803:1930,0.0,0.0,0.0,24.63,0.97,0.0
20230803:2030,0.0,0.0,0.0,24.45,1.17,0.0
20230803:2130,0.0,0.0,0.0,24.45,1.24,0.0
20230803:2230,0.0,0.0,0.0,24.24,1.45,0.0
20230803:2330,3.82,14.2,3.49,24.2,1.38,0.0
20230804:0030,114.9,169.53,17.82,24.51,0.69,0.0
20230804:0130,249.91,331.63,32.09,26.63,0.76,0.0
20230804:0230,381.92,495.36,46.17,27.82,2.21,0.0
20230804:0330,551.83,720.92,59.7,28.84,2.9,0.0
20230804:0430,570.93,750.99,71.41,29.8,3.24,0.0
20230804:0530,525.67,688.85,75.62,30.42,3.31,0.0
20230804:0630,474.23,621.11,67.62,30.76,3.24,0.0
20230804:0730,331.1,430.84,54.96,30.03,3.38,0.0
20230804:0830,290.85,381.47,41.16,30.25,3.1,0.0
20230804:0930,190.35,260.18,26.99,30.1,2.9,0.0
20230804:1030,59.88,103.05,12.69,29.83,2.34,0.0
20230804:1130,0.0,0.0,-1.62,29.15,1.66,0.0
20230804:1230,0.0,0.0,0.0,27.95,1.1,0.0
20230804:1330,0.0,0.0,0.0,27.18,0.76,0.0
20230804:1430,0.0,0.0,0.0,26.43,0.97,0.0
20230804:1530,0.0,0.0,0.0,25.93,1.24,0.0
20230804:1630,0.0,0.0,0.0,25.63,1.38,0.0
20230804:1730,0.0,0.0,0.0,25.25,1.38,0.0
20230804:1830,0.0,0.0,0.0,24.95,1.17,0.0
20230804:1930,0.0,0.0,0.0,24.53,1.17,0.0
20230804:2030,0.0,0.0,0.0,24.26,1.24,0.0
20230804:2130,0.0,0.0,0.0,24.16,1.52,0.0
20230804:2230,0.0,0.0,0.0,24.12,1.52,0.0
20230804:2330,4.21,14.9,3.5,24.04,1.52,0.0
20230805:0030,148.66,216.85,17.85,24.41,1.24,0.0
20230805:0130,325.97,430.83,32.14,27.2,0.97,0.0
20230805:0230,430.47,564.53,46.25,29.1,1.72,0.0
20230805:0330,537.56,710.93,59.84,30.11,2.28,0.0
20230805:0430,597.57,801.87,71.62,30.98,2.21,0.0
20230805:0530,603.4,814.87,75.88,31.7,2.14,0.0
20230805:0630,425.86,563.23,67.76,32.09,2.83,0.0
20230805:0730,400.74,529.61,55.03,31.34,2.0,0.0
20230805:0830,354.55,466.19,41.19,31.19,2.69,0.0
20230805:0930,224.12,306.2,26.99,31.21,2.28,0.0
20230805:1030,86.05,147.49,12.67,30.84,1.72,0.0
20230805:1130,0.0,0.0,-1.66,30.17,1.31,0.0
20230805:1230,0.0,0.0,0.0,28.57,0.97,0.0
20230805:1330,0.0,0.0,0.0,27.77,0.9,0.0
20230805:1430,0.0,0.0,0.0,27.33,0.83,0.0
20230805:1530,0.0,0.0,0.0,26.78,0.9,0.0
20230805:1630,0.0,0.0,0.0,26.43,0.9,0.0
20230805:1730,0.0,0.0,0.0,25.59,1.1,0.0
20230805:1830,0.0,0.0,0.0,25.41,0.9,0.0
20230805:1930,0.0,0.0,0.0,24.59,1.31,0.0
20230805:2030,0.0,0.0,0.0,24.46,0.62,0.0
20230805:2130,0.0,0.0,0.0,24.27,1.1,0.0
20230805:2230,0.0,0.0,0.0,23.98,0.97,0.0
20230805:2330,3.91,14.35,3.51,23.8,0.76,0.0
20230806:0030,119.21,176.58,17.89,24.34,0.48,0.0
20230806:0130,290.63,382.85,32.2,25.72,0.48,0.0
20230806:0230,402.99,531.79,46.34,27.14,0.14,0.0
20230806:0330,503.45,669.19,59.97,28.32,0.83,0.0
20230806:0430,537.06,715.49,71.83,29.33,1.45,0.0
20230806:0530,603.78,812.73,76.14,30.02,1.86,0.0
20230806:0630,563.03,749.78,67.9,30.44,2.34,0.0
20230806:0730,488.14,648.03,55.1,30.92,1.93,0.0
20230806:0830,390.07,515.68,41.22,31.32,2.14,0.0
20230806:0930,245.93,336.34,26.99,31.25,1.52,0.0
20230806:1030,80.98,137.51,12.65,30.91,1.24,0.0
20230806:1130,0.0,0.0,-1.71,29.94,1.17,0.0
20230806:1230,0.0,0.0,0.0,28.45,1.31,0.0
20230806:1330,0.0,0.0,0.0,27.1,1.31,0.0
20230806:1430,0.0,0.0,0.0,26.42,1.03,0.0
20230806:1530,0.0,0.0,0.0,25.78,1.1,0.0
20230806:1630,0.0,0.0,0.0,25.03,1.24,0.0
20230806:1730,0.0,0.0,0.0,24.55,1.24,0.0
20230806:1830,0.0,0.0,0.0,24.2,1.17,0.0
20230806:1930,0.0,0.0,0.0,24.32,1.66,0.0
20230806:2030,0.0,0.0,0.0,24.06,1.38,0.0
20230806:2130,0.0,0.0,0.0,23.68,1.24,0.0
20230806:2230,0.0,0.0,0.0,23.45,1.17,0.0
20230806:2330,5.61,17.35,3.53,23.51,1.24,0.0
20230807:0030,148.78,216.9,17.92,24.58,0.76,0.0
20230807:0130,288.53,382.05,32.26,27.18,0.69,0.0
20230807:0230,457.03,610.78,46.43,28.34,0.34,0.0
20230807:0330,492.48,652.95,60.11,29.67,1.45,0.0
20230807:0430,560.3,745.84,72.05,30.3,2.28,0.0
20230807:0530,536.95,709.1,76.41,30.76,2.62,0.0
20230807:0630,537.84,708.49,68.04,30.48,2.9,0.0
20230807:0730,454.27,597.86,55.16,30.84,2.9,0.0
20230807:0830,351.14,461.01,41.24,30.9,3.03,0.0
20230807:0930,171.97,237.68,26.99,30.4,2.34,0.0
20230807:1030,48.76,85.67,12.62,29.9,1.17,0.0
20230807:1130,0.0,0.0,-1.75,29.31,0.21,0.0
20230807:1230,0.0,0.0,0.0,28.25,0.9,0.0
20230807:1330,0.0,0.0,0.0,27.24,1.17,0.0
20230807:1430,0.0,0.0,0.0,26.52,1.17,0.0
20230807:1530,0.0,0.0,0.0,25.8,1.03,0.0
20230807:1630,0.0,0.0,0.0,25.33,0.9,0.0
20230807:1730,0.0,0.0,0.0,25.27,0.48,0.0
20230807:1830,0.0,0.0,0.0,24.82,0.76,0.0
20230807:1930,0.0,0.0,0.0,24.58,1.1,0.0
20230807:2030,0.0,0.0,0.0,25.27,0.55,0.0
20230807:2130,0.0,0.0,0.0,24.73,0.69,0.0
20230807:2230,0.0,0.0,0.0,24.37,0.76,0.0
20230807:2330,4.14,14.8,3.54,24.3,0.55,0.0
20230808:0030,97.91,146.35,17.96,24.55,0.14,0.0
20230808:0130,187.5,250.75,32.32,25.19,0.34,0.0
20230808:0230,323.95,420.39,46.52,26.14,1.03,0.0
20230808:0330,419.67,544.37,60.24,27.34,1.72,0.0
20230808:0430,375.15,491.16,72.28,28.09,1.72,0.0
20230808:0530,486.71,639.36,76.68,28.71,1.72,0.0
20230808:0630,468.22,613.66,68.18,29.62,2.21,0.0
20230808:0730,351.8,461.09,55.22,29.82,2.21,0.0
20230808:0830,333.43,438.62,41.26,29.78,2.0,0.0
20230808:0930,211.95,289.66,26.98,30.01,1.59,0.0
20230808:1030,58.01,98.11,12.6,29.69,1.72,0.0
20230808:1130,0.0,0.0,-1.8,28.79,0.83,0.0
20230808:1230,0.0,0.0,0.0,27.79,0.55,0.0
20230808:1330,0.0,0.0,0.0,27.54,0.28,0.0
20230808:1430,0.0,0.0,0.0,26.13,0.97,0.0
20230808:1530,0.0,0.0,0.0,25.42,1.03,0.0
20230808:1630,0.0,0.0,0.0,24.95,1.03,0.0
20230808:1730,0.0,0.0,0.0,24.61,0.97,0.0
20230808:1830,0.0,0.0,0.0,24.23,1.03,0.0
20230808:1930,0.0,0.0,0.0,24.72,0.48,0.0
20230808:2030,0.0,0.0,0.0,24.0,0.97,0.0
20230808:2130,0.0,0.0,0.0,23.79,1.24,0.0
20230808:2230,0.0,0.0,0.0,23.61,1.1,0.0
20230808:2330,5.97,17.95,3.56,23.27,1.03,0.0
20230809:0030,146.36,211.81,18.0,24.14,0.62,0.0
20230809:0130,308.54,409.14,32.39,26.67,0.28,0.0
20230809:0230,447.36,593.44,46.62,28.22,0.76,0.0
20230809:0330,469.01,622.12,60.38,29.43,1.52,0.0
20230809:0430,548.99,731.9,72.51,29.68,1.79,0.0
20230809:0530,510.19,675.97,76.95,30.44,2.34,0.0
20230809:0630,619.83,832.36,68.31,30.7,2.28,0.0
20230809:0730,369.47,485.33,55.28,31.18,2.55,0.0
20230809:0830,340.52,449.16,41.28,30.35,2.0,0.0
20230809:0930,176.99,243.89,26.97,29.73,1.66,0.0
20230809:1030,49.81,85.62,12.56,28.21,1.17,0.0
20230809:1130,0.0,0.0,-1.85,27.38,0.48,0.0
20230809:1230,0.0,0.0,0.0,26.65,1.45,0.0
20230809:1330,0.0,0.0,0.0,26.07,0.9,0.0
20230809:1430,0.0,0.0,0.0,25.67,0.62,0.0
20230809:1530,0.0,0.0,0.0,25.15,1.03,0.0
20230809:1630,0.0,0.0,0.0,24.53,1.38,0.0
20230809:1730,0.0,0.0,0.0,24.37,0.55,0.0
20230809:1830,0.0,0.0,0.0,24.23,0.41,0.0
20230809:1930,0.0,0.0,0.0,25.34,0.76,0.0
20230809:2030,0.0,0.0,0.0,25.02,1.1,0.0
20230809:2130,0.0,0.0,0.0,24.81,0.9,0.0
20230809:2230,0.0,0.0,0.0,24.67,1.03,0.0
20230809:2330,4.98,16.3,3.58,24.43,1.24,0.0
20230810:0030,113.12,164.01,18.05,24.28,0.83,0.0
20230810:0130,299.61,395.67,32.46,25.59,0.34,0.0
20230810:0230,371.26,483.37,46.71,27.08,1.24,0.0
20230810:0330,508.58,676.36,60.53,27.8,1.1,0.0
20230810:0430,523.58,697.37,72.74,28.79,1.45,0.0
20230810:0530,597.02,798.19,77.22,29.41,2.07,0.0
20230810:0630,541.29,715.0,68.44,29.75,2.41,0.0
20230810:0730,555.25,741.91,55.34,29.79,1.66,0.0
20230810:0830,367.02,482.24,41.3,30.07,1.86,0.0
20230810:0930,252.16,341.49,26.96,29.71,1.86,0.0
20230810:1030,60.98,108.43,12.53,29.33,1.86,0.0
20230810:1130,0.0,0.0,-1.9,28.36,1.52,0.0
20230810:1230,0.0,0.0,0.0,27.25,1.66,0.0
20230810:1330,0.0,0.0,0.0,26.27,1.45,0.0
20230810:1430,0.0,0.0,0.0,25.35,1.1,0.0
20230810:1530,0.0,0.0,0.0,24.84,1.17,0.0
20230810:1630,0.0,0.0,0.0,24.36,1.17,0.0
20230810:1730,0.0,0.0,0.0,23.91,1.17,0.0
20230810:1830,0.0,0.0,0.0,23.59,1.17,0.0
20230810:1930,0.0,0.0,0.0,25.52,0.28,0.0
20230810:2030,0.0,0.0,0.0,24.44,0.34,0.0
20230810:2130,0.0,0.0,0.0,23.84,0.69,0.0
20230810:2230,0.0,0.0,0.0,23.8,0.76,0.0
20230810:2330,5.43,17.05,3.61,23.73,0.76,0.0
20230811:0030,116.61,169.5,18.09,24.15,0.55,0.0
20230811:0130,275.57,362.18,32.52,25.9,1.1,0.0
20230811:0230,386.06,502.48,46.81,27.18,1.59,0.0
20230811:0330,470.91,619.98,60.67,28.26,1.72,0.0
20230811:0430,558.77,743.86,72.97,29.17,2.0,0.0
20230811:0530,593.39,794.5,77.5,29.73,2.21,0.0
20230811:0630,584.22,779.04,68.57,30.35,2.55,0.0
20230811:0730,404.05,526.23,55.39,29.26,2.69,0.0
20230811:0830,186.54,251.03,41.31,28.56,2.07,0.0
20230811:0930,152.46,211.17,26.95,28.29,0.97,0.0
20230811:1030,53.93,90.23,12.49,28.23,0.07,0.0
20230811:1130,0.0,0.0,-1.96,27.82,0.41,0.0
20230811:1230,0.0,0.0,0.0,26.98,0.97,0.0
20230811:1330,0.0,0.0,0.0,26.13,1.31,0.0
20230811:1430,0.0,0.0,0.0,25.5,1.24,0.0
20230811:1530,0.0,0.0,0.0,24.96,1.24,0.0
20230811:1630,0.0,0.0,0.0,24.54,1.45,0.0
20230811:1730,0.0,0.0,0.0,24.23,1.38,0.0
20230811:1830,0.0,0.0,0.0,23.93,1.17,0.0
20230811:1930,0.0,0.0,0.0,24.18,1.45,0.0
20230811:2030,0.0,0.0,0.0,24.13,0.97,0.0
20230811:2130,0.0,0.0,0.0,24.08,0.76,0.0
20230811:2230,0.0,0.0,0.0,23.79,0.69,0.0
20230811:2330,5.78,17.65,3.63,23.61,0.14,0.0
20230812:0030,58.98,90.8,18.14,23.9,0.41,0.0
20230812:0130,213.15,282.36,32.6,24.35,0.41,0.0
20230812:0230,289.82,377.71,46.91,25.39,0.9,0.0
20230812:0330,419.57,547.44,60.82,26.31,1.1,0.0
20230812:0430,468.46,619.09,73.2,27.41,1.24,0.0
20230812:0530,494.34,653.93,77.78,28.3,1.59,0.0
